Standort;Straße;Hausnummer;PLZ;Ort;Station ID;Device ID;icon;slug;Name;Gerätetyp;Hersteller;Sensorart;Typ;Sensortyp;Sensorstatus;Sensormodell;Installationshöhe;Installationsdatum;Kommune
51.54538, 7.52325;Grunewald;24;44328;Dortmund;DOTGRW;ec39ac31-f100-4b5c-8225-0b523ffb7de4;devices;dec0054c6;DEC0054C6;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.52526581856891, 7.365322474301303;Blotenhofstraße;1a;44379;Dortmund;DOTBHS;f418b97f-7a51-45a7-a9a7-ab14e72a6ded;devices;dec0054d0;DEC0054D0;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.48472, 7.50269;Clarenberg;1;44263;Dortmund;DOBCLA;cf71bb6e-ab0f-47eb-89c1-fb3d35e5e148;devices;dec005487;DEC005487;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-08-08;Dortmund
51.489444383733, 7.447220950248622;Bolmker Weg;;44225;Dortmund;DODBOL;07984fe6-55d6-4b09-976b-de61b132dbcd;devices;dec00549b;DEC00549B;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2025-03-13;Dortmund
51.52267, 7.4592;Uhlandstraße;19;44147;Dortmund;DOBDKP;dabd9836-5553-46ed-9671-8b6843fddfee;devices;dec00549f;DEC00549F;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
51.51583, 7.46639;Brückstraße;24;44135;Dortmund;DOBBRS;f7be4ee0-762c-4d27-874d-83ef6e7028da;devices;dec005498;DEC005498;DL-BLG-001;Decentlab;Strahlungstemperatursensor;Klimasensor;Klimasensoren;aktiv;BlackGlobe;3.3m;2024-10-21;Dortmund
51.5248588879, 7.4433945101;Speicherstraße;;44147;Dortmund;DOBSPS;0467cb2b-add1-4d49-8b58-dbba160fb1de;devices;dec005303;DEC005303;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-15;Dortmund
51.502932806491565, 7.51076541487551;Droste-Hülshoff-Straße;1A;44141;Dortmund;DOBDHS;0b1a7b19-e6aa-4dfb-8df2-993231e5861c;devices;dec005470;DEC005470;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-06;Dortmund
51.49119375557483, 7.504996593325032;Kaipromenade;;44263;Dortmund;DODPHX;4d8df2fd-cd41-4dbb-9e85-ae327846e0f3;devices;dec005477;DEC005477;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-08-06;Dortmund
51.52606735260967, 7.465276514722926;Nordmarkt;22;44145;Dortmund;DOBNOM;4f719e59-34fe-489f-b657-1aec2ab3a988;devices;dec00547e;DEC00547E;ATM41;Decentlab;Temperatursensor;Klimasensor;Klimasensoren;aktiv;ATM41;3.3m;2024-10-16;Dortmund
